path,ext,size,modified_utc,last_git_utc,decision,reasons
tools/py/registry/build_tool_catalog.py,.py,7809,2025-08-27 15:55:40,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/registry/dup_guard.py,.py,1976,2025-08-27 22:35:00,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/registry/test_add_tool_guard.py,.py,1484,2025-08-27 22:41:43,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/repair_server_syntax.py,.py,3178,2025-08-27 09:07:22,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/tool_catalog.json,.json,6274,2025-08-28 08:28:50,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/tool_catalog.md,.md,2460,2025-08-28 08:28:50,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/tool_catalog.overlay.yaml,.yaml,1287,2025-08-28 08:28:50,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/tool_catalog.yaml,.yaml,4516,2025-08-28 08:28:50,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/watchdog/agent.py,.py,1505,2025-08-27 12:19:15,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/watchdog/config.py,.py,2795,2025-08-27 12:18:30,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/watchdog/install.py,.py,3335,2025-08-27 12:20:08,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/watchdog/notify.py,.py,2420,2025-08-27 12:18:55,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/watchdog/watchdog.py,.py,2511,2025-08-27 12:19:48,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/reflection_gate.py,.py,5184,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/reply_contract/assistant_reply_v2.schema.json,.json,498,2025-08-26 07:07:33,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/reply_contract/validator.py,.py,4351,2025-08-26 07:07:33,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/report_active_costs.py,.py,1137,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/role_context.py,.py,634,2025-08-22 16:22:50,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/run_tests.py,.py,778,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/run_watchdog.ps1,.ps1,407,2025-08-23 20:43:25,2025-08-23 23:28:49,archive,script:not_managed;stale:57d>=45d
tools/run_with_capture.py,.py,5107,2025-08-31 18:02:23,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/safe_replace.py,.py,2014,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/sanitize_project_yaml.py,.py,2330,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/sanitize_yaml_generic.py,.py,4250,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/schemas_current.json,.json,2052,2025-08-26 16:10:12,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/self_check.py,.py,1282,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/send_with_memory.py,.py,2053,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/session_store.py,.py,1108,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/set_config_memory_toggle.py,.py,739,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
